Date,Open,High,Low,Close,Volume
2016-10-04,44.27,44.51,42.94,43.28,3923742
2016-10-05,44.05,44.94,43.7,44.18,6381711
2016-10-06,44.56,44.83,43.16,43.48,5452310
2016-10-07,43.75,43.97,42.39,42.81,4907368
2016-10-10,43.49,44.5,43.25,44.39,4893540
2016-10-11,44.24,44.34,43.65,44.14,4444714
2016-10-12,43.93,44.7,43.16,44.56,6757935
2016-10-13,44.04,44.76,43.27,43.9,4636294
2016-10-14,44.14,44.49,43.07,43.08,3257574
2016-10-17,42.94,43.16,41.4,41.77,6840124
2016-10-18,42.6,42.74,41.57,41.9,5126712
2016-10-19,42.16,43.5,41.95,42.96,5655801
2016-10-20,42.26,43.22,41.98,42.94,4258113
2016-10-21,42.42,43.04,42.27,42.69,3173744
2016-10-24,42.55,42.66,40.95,41.72,4414650
2016-10-25,41.42,41.93,40.65,40.67,3670813
2016-10-26,40.09,40.72,39.41,40.2,6910631
2016-10-27,40.46,41.22,40.2,40.46,4303943
2016-10-28,40.44,40.74,38.91,39.18,5872896
2016-10-31,39.05,39.06,37.81,37.89,6902386
2016-11-01,38.47,38.76,36.64,37.69,6471219
2016-11-02,37.33,39.86,37.17,39.55,12156414
2016-11-03,39.88,41.0,39.82,40.51,7930334
2016-11-04,40.42,40.94,39.63,40.19,5988283
2016-11-07,41.03,41.84,40.97,41.82,5336949
2016-11-08,41.33,42.32,41.22,41.98,4293301
2016-11-09,41.93,44.12,41.81,43.62,6196267
2016-11-10,43.52,43.77,42.26,43.14,5621644
2016-11-11,42.52,42.8,41.09,41.85,5287922
2016-11-14,41.66,42.87,41.18,42.81,4828093
2016-11-15,43.49,45.0,43.47,45.0,6640727
2016-11-16,44.78,45.05,43.86,43.98,5611309
2016-11-17,44.37,44.69,42.75,42.87,6041631
2016-11-18,43.35,44.37,43.2,43.82,4769862
2016-11-21,44.98,45.3,44.41,44.9,4861870
2016-11-22,45.08,45.29,43.59,44.48,4356375
2016-11-23,44.1,45.05,43.75,45.04,2926253
2016-11-25,44.54,44.81,43.57,44.23,1962350
2016-11-28,44.85,44.98,42.55,42.65,5810255
2016-11-29,41.24,42.41,40.43,42.16,7671851
2016-11-30,46.72,48.71,46.51,48.33,17514187
2016-12-01,49.51,49.59,47.55,47.85,7154963
2016-12-02,47.24,48.78,47.24,47.85,4454214
2016-12-05,48.43,48.91,47.64,47.74,4282096
2016-12-06,46.91,47.96,45.78,47.31,5334791
2016-12-07,47.15,48.14,46.93,47.55,4936673
2016-12-08,48.1,48.41,46.81,47.74,4987316
2016-12-09,48.28,48.49,47.74,48.07,3675213
2016-12-12,50.36,50.69,47.95,48.12,7603128
2016-12-13,48.75,48.76,47.47,48.19,4485184
2016-12-14,47.5,48.89,46.82,47.02,5678949
2016-12-15,46.7,47.73,46.42,47.53,4983973
2016-12-16,47.88,47.89,47.03,47.38,4847625
2016-12-19,47.2,47.54,46.74,47.04,3657455
2016-12-20,47.11,47.58,46.5,46.66,3371386
2016-12-21,47.09,47.2,46.21,46.57,2788916
2016-12-22,46.51,47.63,46.38,46.9,4874544
2016-12-23,46.73,47.2,46.32,46.54,2727109
2016-12-27,46.71,47.03,46.61,46.84,1792118
2016-12-28,47.01,47.2,46.06,46.24,2392331
2016-12-29,46.0,46.21,45.63,45.95,2111792
2016-12-30,45.95,46.66,45.51,45.67,2871759
2017-01-03,46.82,47.56,45.62,47.08,5828555
2017-01-04,46.94,47.52,46.49,47.5,3706228
2017-01-05,47.73,49.45,47.67,49.01,7512979
2017-01-06,49.03,49.25,48.43,48.67,3193903
2017-01-09,48.07,48.18,46.51,46.58,5736103
2017-01-10,46.97,47.23,46.45,46.7,4642677
2017-01-11,46.46,47.46,46.25,47.4,3997619
2017-01-12,47.68,47.8,46.04,46.46,4433621
2017-01-13,46.1,46.74,45.93,46.41,3081844
2017-01-17,46.57,47.18,46.35,46.48,3376768
2017-01-18,45.99,46.42,45.53,46.36,3653543
2017-01-19,46.49,46.66,45.86,46.09,2602720
2017-01-20,46.79,46.95,46.01,46.26,3571340
2017-01-23,45.79,46.1,45.12,45.63,4985253
2017-01-24,46.08,46.89,45.89,46.59,3185571
2017-01-25,46.63,47.03,46.14,46.46,4992554
2017-01-26,46.81,47.82,46.67,47.15,3017961
2017-01-27,46.78,46.89,46.26,46.64,2726426
2017-01-30,46.51,46.51,44.42,45.07,4125969
2017-01-31,45.19,45.56,44.58,45.54,3493620
2017-02-01,45.98,46.19,44.84,45.54,3566555
2017-02-02,45.54,45.98,44.85,45.65,3269899
2017-02-03,45.58,47.17,45.54,46.79,3824691
2017-02-06,46.67,46.88,45.19,45.27,3629407
2017-02-07,44.88,45.34,43.87,44.14,3854630
2017-02-08,43.59,44.73,43.12,44.06,4356073
2017-02-09,44.64,44.93,44.28,44.75,2914951
2017-02-10,45.02,45.94,45.0,45.41,3445005
2017-02-13,45.07,45.66,44.7,45.26,3261704
2017-02-14,45.68,45.99,44.67,45.94,3360550
2017-02-15,46.3,47.25,43.82,44.23,9506757
2017-02-16,44.44,45.23,44.03,44.11,6199396
2017-02-17,43.88,44.27,43.61,44.17,3362893
2017-02-21,44.56,45.62,44.36,45.06,4971900
2017-02-22,44.5,44.97,43.71,43.76,4805784
2017-02-23,44.85,44.95,43.49,43.99,4982412
2017-02-24,43.5,43.89,42.56,42.81,4574380
2017-02-27,43.07,43.45,42.63,43.06,7623556
2017-02-28,42.95,43.84,42.86,43.36,5194195
2017-03-01,43.95,44.77,43.57,44.63,4669445
2017-03-02,43.99,44.15,43.34,43.47,4393009
2017-03-03,43.7,43.98,43.19,43.35,2677623
2017-03-06,43.35,44.0,42.91,43.94,5376722
2017-03-07,44.27,44.33,43.31,43.56,2843129
2017-03-08,43.05,43.26,40.48,40.72,7773213
2017-03-09,40.27,41.04,39.48,40.77,8696982
2017-03-10,41.28,41.33,39.85,40.26,5036025
2017-03-13,40.05,41.18,40.05,40.96,4366698
2017-03-14,40.3,40.32,38.69,40.02,5860391
2017-03-15,40.48,41.27,40.14,41.12,3497659
2017-03-16,41.11,41.14,40.51,40.72,2900196
2017-03-17,40.91,41.19,40.49,40.54,5180935
2017-03-20,40.02,40.68,39.85,40.54,3295870
2017-03-21,40.58,40.82,39.51,39.8,3960505
2017-03-22,39.42,40.16,38.99,39.34,4561786
2017-03-23,39.18,39.68,38.92,39.09,4051939
2017-03-24,39.21,39.46,38.66,38.8,4148607
2017-03-27,38.25,39.03,38.02,38.88,4047995
2017-03-28,39.25,39.81,38.84,39.62,4889628
2017-03-29,39.7,41.27,39.58,41.22,5821393
2017-03-30,41.72,42.01,41.12,41.45,6667205
2017-03-31,41.2,41.95,41.07,41.72,4806903
2017-04-03,41.7,42.32,41.26,42.03,4297991
2017-04-04,42.06,42.52,41.51,42.49,3850646
2017-04-05,42.95,43.52,41.44,41.52,5680845
2017-04-06,41.92,43.16,41.75,42.88,6989775
2017-04-07,42.81,43.1,42.49,42.54,3710126
2017-04-10,42.89,43.22,42.74,43.06,3184454
2017-04-11,42.86,42.98,41.95,42.52,7316616
2017-04-12,42.52,42.97,41.72,41.87,3899882
2017-04-13,42.0,42.34,40.47,40.65,4507497
2017-04-17,40.62,41.03,39.93,41.01,4373761
2017-04-18,40.63,41.25,40.26,40.53,4158743
2017-04-19,40.64,40.84,39.09,39.25,4839913
2017-04-20,39.46,39.94,39.34,39.7,3502155
2017-04-21,39.44,39.87,38.95,39.73,4301268
2017-04-24,40.08,40.28,39.59,39.82,3609460
2017-04-25,39.81,40.68,39.66,40.59,3726799
2017-04-26,40.14,41.29,40.09,40.59,4127063
2017-04-27,40.15,40.31,39.06,39.35,5109809
2017-04-28,39.65,40.02,39.25,39.49,3662145
2017-05-01,39.47,39.7,39.17,39.31,2950636
2017-05-02,39.3,39.72,38.4,38.85,5262868
2017-05-03,39.0,39.14,37.6,38.17,7651042
2017-05-04,37.77,37.77,36.56,36.98,7536131
2017-05-05,37.2,38.07,36.92,38.02,4873972
2017-05-08,37.93,38.42,37.59,38.16,4135667
2017-05-09,38.22,38.3,37.61,37.89,3550374
2017-05-10,38.44,39.11,38.19,38.54,5631504
2017-05-11,38.73,38.85,37.86,37.95,3640933
2017-05-12,37.84,38.09,37.54,37.86,3000855
2017-05-15,38.75,38.96,37.76,38.16,4222843
2017-05-16,38.18,38.34,37.65,37.92,3761510
2017-05-17,37.45,38.14,37.24,37.35,4631300
2017-05-18,37.0,37.5,36.76,36.9,5053665
2017-05-19,37.16,38.49,37.12,38.39,4251544
2017-05-22,38.64,38.79,37.87,38.08,3904797
2017-05-23,38.01,38.19,37.6,37.82,3212429
2017-05-24,37.63,37.88,36.75,37.13,5061729
2017-05-25,37.0,37.76,35.58,35.73,5323253
2017-05-26,35.61,35.89,35.22,35.82,3719634
2017-05-30,35.38,35.47,34.3,34.49,5530200
2017-05-31,33.83,34.47,33.38,33.98,9029691
2017-06-01,34.11,34.82,33.86,34.27,4212991
2017-06-02,33.91,33.97,32.87,33.13,6472800
2017-06-05,32.96,33.3,32.69,33.05,5085441
2017-06-06,32.99,33.91,32.77,33.9,7250765
2017-06-07,33.65,33.9,31.82,31.92,8373929
2017-06-08,31.58,32.24,31.46,31.49,6004580
2017-06-09,31.57,32.78,31.38,32.58,6913584
2017-06-12,33.06,33.59,32.6,32.72,5624858
2017-06-13,32.71,33.5,32.58,33.49,4477991
2017-06-14,33.3,33.3,31.75,32.19,7083702
2017-06-15,31.97,32.41,31.28,31.49,5194344
2017-06-16,31.74,31.77,31.26,31.76,6384828
2017-06-19,31.82,31.91,31.22,31.32,4684823
2017-06-20,30.71,31.39,30.39,31.16,5585084
2017-06-21,31.12,31.45,29.92,30.15,6774546
2017-06-22,30.31,30.68,29.89,30.01,5805395
2017-06-23,30.09,30.63,30.03,30.48,4161286
2017-06-26,30.7,31.18,30.28,30.72,5088605
2017-06-27,30.72,31.0,30.23,30.35,9618965
2017-06-28,30.38,30.97,30.16,30.55,7398080
2017-06-29,30.9,32.24,30.79,31.81,7410102
2017-06-30,32.27,32.36,31.45,31.97,6659746
2017-07-03,32.13,33.08,32.07,32.78,2652058
2017-07-05,32.45,32.48,31.01,31.1,7234884
2017-07-06,31.16,31.41,30.07,30.18,7081444
2017-07-07,29.81,29.95,28.79,29.54,7366474
2017-07-10,29.38,30.05,29.34,29.73,7655018
2017-07-11,30.25,30.92,29.85,30.53,7450885
2017-07-12,31.02,31.6,30.63,30.81,5668720
2017-07-13,30.8,31.28,30.7,31.2,4550362
2017-07-14,31.31,31.87,31.16,31.65,4846076
2017-07-17,31.62,32.01,31.26,31.35,5803459
2017-07-18,31.63,31.68,31.09,31.36,4574909
2017-07-19,31.29,32.65,31.22,32.5,5498505
2017-07-20,32.71,32.8,31.96,31.99,4954582
2017-07-21,31.94,32.09,31.49,31.96,3774947
2017-07-24,31.88,32.25,31.54,31.74,4171214
2017-07-25,32.35,33.41,32.24,32.98,5465251
2017-07-26,33.35,33.83,32.78,32.99,6258280
2017-07-27,32.94,33.47,32.85,33.47,3591205
2017-07-28,33.37,34.14,33.08,33.21,4323609
2017-07-31,,33.71,,33.31,3790707
2017-08-01,33.25,33.6,32.62,32.98,4659272
2017-08-02,32.72,33.72,32.05,33.4,5605456
2017-08-03,33.56,34.28,32.24,32.27,6413860
2017-08-04,32.34,33.77,32.28,33.66,7148390
2017-08-07,33.49,33.53,32.31,32.4,4379761
2017-08-08,32.28,32.89,32.01,32.14,6161430
2017-08-09,32.38,32.77,31.78,32.08,4297889
2017-08-10,32.33,32.64,31.71,31.76,4010006
2017-08-11,31.54,31.99,31.41,31.61,3588192
2017-08-14,31.71,31.84,31.05,31.07,3093466
2017-08-15,30.97,30.99,30.58,30.92,4004871
2017-08-16,31.11,31.52,30.5,30.66,3842982
2017-08-17,30.5,31.22,30.16,30.18,3800931
2017-08-18,30.16,30.75,29.78,30.4,4204173
2017-08-21,30.33,30.46,30.08,30.34,2922873
2017-08-22,30.44,30.62,30.12,30.4,3930958
2017-08-23,30.33,31.36,30.16,30.98,3320022
2017-08-24,30.76,31.29,30.67,31.12,3820859
2017-08-25,31.25,31.66,31.1,31.16,3246941
2017-08-28,31.27,31.27,30.47,30.93,2966973
2017-08-29,30.59,31.12,30.24,30.99,3438410
2017-08-30,30.75,31.2,30.51,30.96,3214434
2017-08-31,31.26,31.8,31.04,31.4,5333134
2017-09-01,31.51,32.35,31.14,32.11,3820963
2017-09-05,32.35,32.7,31.74,32.13,3842710
2017-09-06,32.41,33.09,32.33,32.68,3810708
2017-09-07,32.47,32.73,32.09,32.39,2903299
2017-09-08,32.28,32.28,31.01,31.47,4439919
2017-09-11,31.63,32.0,31.46,31.81,3862738
2017-09-12,31.89,32.54,31.81,32.17,3619474
2017-09-13,32.34,33.52,32.33,33.51,6000432
2017-09-14,33.65,34.6,33.65,33.9,5576969
2017-09-15,33.94,34.22,33.25,33.65,4709395
2017-09-18,33.49,33.99,33.12,33.97,4305798
2017-09-19,33.95,34.02,33.6,33.77,3604989
2017-09-20,34.0,34.94,34.0,34.89,5017238
2017-09-21,34.78,35.66,34.63,35.35,4761141
2017-09-22,35.23,35.81,35.15,35.78,4734876
2017-09-25,36.08,36.87,36.03,36.67,4337315
2017-09-26,36.48,37.04,36.22,36.93,4578774
2017-09-27,36.98,37.19,36.62,37.17,4559083
2017-09-28,37.21,37.45,36.48,36.59,5216452
2017-09-29,36.51,36.73,36.13,36.71,5507908
2017-10-02,36.02,36.63,35.3,36.6,4665036
