Date,Open,High,Low,Close,Volume
2016-12-12,72.85,73.26,72.2,72.9,2194622
2016-12-13,73.11,73.73,72.79,73.1,2171902
2016-12-14,73.23,73.43,72.29,72.54,2482166
2016-12-15,72.81,73.94,72.54,73.61,2165838
2016-12-16,73.77,74.0,71.97,72.09,5131290
2016-12-19,72.41,73.0,72.15,72.81,1947706
2016-12-20,72.92,73.59,72.81,73.4,1729600
2016-12-21,73.69,74.29,73.27,73.6,1868309
2016-12-22,73.89,73.95,73.01,73.45,1680836
2016-12-23,73.37,73.87,73.34,73.84,1229062
2016-12-27,73.81,74.62,73.81,74.31,897044
2016-12-28,74.54,74.6,73.53,73.56,1851038
2016-12-29,73.38,73.88,73.23,73.58,1330996
2016-12-30,73.8,74.02,72.39,72.62,1759059
2017-01-03,72.6,74.13,72.09,72.5,2687647
2017-01-04,72.77,73.03,72.25,72.36,1970972
2017-01-05,72.41,72.61,71.28,71.32,2067347
2017-01-06,71.58,71.95,71.0,71.6,2069899
2017-01-09,71.64,72.51,71.52,71.94,2399482
2017-01-10,71.87,72.51,71.85,72.35,2403211
2017-01-11,72.27,72.66,72.07,72.62,1581704
2017-01-12,72.42,72.42,71.0,72.22,2099204
2017-01-13,72.36,72.88,72.12,72.67,1509448
2017-01-17,72.23,73.41,71.85,72.28,2374615
2017-01-18,72.64,73.63,72.22,73.01,2107097
2017-01-19,72.88,73.39,72.29,72.44,1988799
2017-01-20,72.09,73.65,72.09,72.88,1811606
2017-01-23,72.74,73.24,72.41,72.78,2205565
2017-01-24,73.01,73.68,72.56,73.51,3312910
2017-01-25,74.68,75.59,74.51,74.54,3944255
2017-01-26,74.37,74.54,73.77,74.2,4172570
2017-01-27,74.55,76.94,74.25,76.93,3820728
2017-01-30,76.76,76.76,75.23,76.28,2477104
2017-01-31,76.14,76.19,74.6,74.94,2610137
2017-02-01,75.76,76.73,75.42,76.17,2589106
2017-02-02,75.66,76.03,75.14,75.23,2490038
2017-02-03,75.52,75.73,75.26,75.52,2143141
2017-02-06,75.65,75.65,74.94,75.53,1789190
2017-02-07,75.69,76.58,75.39,76.31,2136116
2017-02-08,77.0,77.75,76.78,77.48,3397804
2017-02-09,77.77,77.77,76.48,76.51,2192298
2017-02-10,76.78,76.78,75.54,76.53,1668587
2017-02-13,77.01,78.03,76.81,77.92,2637630
2017-02-14,77.84,77.97,77.07,77.84,2589583
2017-02-15,80.8,81.63,77.96,81.6,7032662
2017-02-16,81.0,82.57,80.75,81.97,3465020
2017-02-17,81.8,82.5,81.48,82.48,2933246
2017-02-21,82.5,82.87,81.99,82.82,2375575
2017-02-22,82.31,82.39,81.52,82.06,3680283
2017-02-23,82.15,82.16,81.03,81.61,2277865
2017-02-24,80.97,81.7,80.82,81.68,2841133
2017-02-27,81.65,82.43,81.24,82.28,1793205
2017-02-28,82.18,82.24,81.58,81.93,2045377
2017-03-01,82.45,83.79,82.15,83.76,2265145
2017-03-02,83.39,84.08,83.04,83.65,2714886
2017-03-03,83.62,83.65,83.04,83.18,2357205
2017-03-06,83.0,84.24,82.35,83.85,3717381
2017-03-07,83.7,84.17,83.21,83.41,2892716
2017-03-08,83.77,83.85,83.18,83.48,2381960
2017-03-09,83.38,83.66,82.8,83.17,2005287
2017-03-10,83.87,83.87,82.03,82.2,7495536
2017-03-13,82.15,82.99,82.05,82.76,4873827
2017-03-14,82.52,83.73,82.4,83.68,4881069
2017-03-15,83.45,83.67,82.56,83.51,4499154
2017-03-16,83.29,83.5,82.41,82.72,4107669
2017-03-17,83.31,83.34,82.73,83.26,4184005
2017-03-20,83.26,83.7,82.88,82.9,2713967
2017-03-21,83.25,83.46,81.69,81.8,3316568
2017-03-22,81.84,82.26,81.65,82.12,2604890
2017-03-23,82.24,82.33,81.31,81.54,3394961
2017-03-24,81.86,82.95,81.4,81.64,2223544
2017-03-27,81.0,81.54,80.39,81.4,2450693
2017-03-28,81.31,82.51,81.07,82.2,2916355
2017-03-29,81.89,82.22,81.47,81.91,2040482
2017-03-30,81.87,82.61,81.63,82.2,1337976
2017-03-31,82.05,82.48,81.77,81.95,2337302
2017-04-03,82.02,82.27,80.86,81.24,3084353
2017-04-04,80.81,81.39,80.5,81.24,5040761
2017-04-05,81.59,81.65,80.0,80.04,3514192
2017-04-06,80.11,80.66,79.59,80.32,3970751
2017-04-07,80.3,80.59,79.65,80.01,3308914
2017-04-10,80.0,80.12,79.19,79.33,2906963
2017-04-11,78.94,78.95,76.94,78.08,6040225
2017-04-12,78.27,78.45,76.63,76.87,2904147
2017-04-13,76.87,77.85,76.47,76.51,2223163
2017-04-17,76.78,77.2,76.15,76.39,2462244
2017-04-18,75.83,77.53,75.82,77.41,3342580
2017-04-19,77.69,78.2,76.93,76.99,2625531
2017-04-20,77.52,78.89,77.2,78.66,2898859
2017-04-21,77.2,78.18,76.41,77.63,4476578
2017-04-24,79.47,80.07,78.99,79.22,2993699
2017-04-25,79.4,79.73,78.95,79.35,2570298
2017-04-26,79.41,79.46,77.58,77.98,2998678
2017-04-27,78.65,78.88,77.56,77.85,2375278
2017-04-28,77.86,77.98,75.96,76.2,4316369
2017-05-01,75.05,76.42,74.65,76.22,4571778
2017-05-02,76.48,76.49,75.3,75.51,5528417
2017-05-03,75.31,75.86,75.16,75.6,3131976
2017-05-04,75.74,76.17,75.21,75.66,2300623
2017-05-05,75.78,75.87,75.27,75.79,3283420
2017-05-08,75.66,76.59,75.36,76.38,5040178
2017-05-09,76.83,79.19,76.77,78.5,5266014
2017-05-10,79.51,80.01,78.62,79.03,3944381
2017-05-11,78.73,79.25,77.81,78.44,2288815
2017-05-12,78.62,79.04,78.46,78.63,1975314
2017-05-15,79.17,80.37,78.81,80.21,4034159
2017-05-16,80.45,81.31,80.08,81.05,3011941
2017-05-17,80.02,80.27,78.37,78.42,3591971
2017-05-18,79.52,81.32,79.03,80.48,5026568
2017-05-19,80.65,82.27,80.65,81.24,4024419
2017-05-22,81.57,82.36,81.42,82.09,2009527
2017-05-23,82.09,82.32,80.9,81.96,2146525
2017-05-24,82.46,82.58,81.67,82.12,1751235
2017-05-25,82.32,82.95,81.74,82.34,4015012
2017-05-26,82.5,82.89,81.94,82.81,1910621
2017-05-30,83.0,85.17,83.0,84.8,6744931
2017-05-31,88.99,90.49,85.76,85.76,14864313
2017-06-01,86.28,86.32,81.9,82.21,11366033
2017-06-02,81.61,82.14,79.92,80.91,8927592
2017-06-05,81.01,81.3,78.26,78.75,8580171
2017-06-06,78.61,80.44,78.61,80.1,5486320
2017-06-07,80.15,81.1,80.13,80.83,3913710
2017-06-08,81.3,82.51,80.34,82.44,3754715
2017-06-09,82.93,82.98,77.58,78.6,4941869
2017-06-12,78.01,80.47,77.93,79.74,5528632
2017-06-13,80.15,81.73,80.15,81.23,4063417
2017-06-14,81.69,81.86,79.98,80.94,3173898
2017-06-15,79.78,80.75,79.54,79.75,2986144
2017-06-16,80.18,80.23,78.97,80.04,5700640
2017-06-19,81.0,81.25,79.84,80.37,3118028
2017-06-20,80.28,81.65,79.18,79.2,3918127
2017-06-21,79.5,80.2,79.0,79.98,3525072
2017-06-22,80.8,81.67,80.0,81.32,4364478
2017-06-23,81.16,82.14,80.9,81.55,10736858
2017-06-26,81.95,82.1,79.91,80.57,2536535
2017-06-27,80.14,80.55,77.82,78.14,4009798
2017-06-28,78.55,79.39,77.86,79.2,2721682
2017-06-29,78.94,79.12,76.18,77.74,3580578
2017-06-30,78.3,78.33,77.22,77.8,2193607
2017-07-03,78.27,78.55,76.07,76.11,1368338
2017-07-05,76.49,78.11,76.38,77.74,2767425
2017-07-06,76.91,77.73,76.51,77.33,2897961
2017-07-07,77.64,78.85,77.5,78.47,2803698
2017-07-10,78.51,78.86,77.76,78.73,2167822
2017-07-11,78.95,80.36,78.27,79.86,2763005
2017-07-12,80.4,81.17,80.03,80.37,2591449
2017-07-13,80.32,80.75,79.86,80.27,1709260
2017-07-14,80.72,81.69,80.51,81.55,2153637
2017-07-17,81.61,81.85,80.94,81.09,1483272
2017-07-18,80.96,81.19,80.15,81.14,1686020
2017-07-19,81.35,81.38,80.12,80.37,2810323
2017-07-20,80.35,80.89,79.99,80.85,1804783
2017-07-21,80.07,80.22,78.43,78.96,3122467
2017-07-24,78.96,79.46,78.42,78.75,1924655
2017-07-25,78.79,80.1,78.45,79.52,1865748
2017-07-26,80.14,81.3,79.8,80.72,2298126
2017-07-27,80.83,81.28,78.96,79.55,2683369
2017-07-28,79.24,79.37,78.49,79.24,1677677
2017-07-31,79.46,79.93,78.94,79.01,2199726
2017-08-01,79.23,79.48,78.64,78.95,1728057
2017-08-02,79.49,79.65,78.36,78.82,2250910
2017-08-03,78.67,78.99,77.73,77.94,2162931
2017-08-04,78.09,78.4,77.52,77.78,2382264
2017-08-07,79.65,79.65,77.76,78.87,2047867
2017-08-08,78.66,79.88,78.41,78.97,1894162
2017-08-09,78.52,78.65,77.42,77.98,1978962
2017-08-10,77.47,77.95,76.65,76.83,2355433
2017-08-11,76.76,78.29,76.41,78.04,1919352
2017-08-14,78.66,80.16,78.57,79.9,2230171
2017-08-15,79.93,80.37,79.28,79.96,1784198
2017-08-16,80.01,80.9,79.79,80.06,2147190
2017-08-17,79.8,79.89,77.55,77.56,2064511
2017-08-18,77.6,78.07,77.03,77.74,1884655
2017-08-21,77.81,77.99,76.95,77.7,1461306
2017-08-22,78.12,79.3,78.09,79.17,1735941
2017-08-23,78.5,79.3,78.12,79.07,1597943
2017-08-24,79.35,79.44,78.83,79.27,1316891
2017-08-25,79.57,79.84,78.81,78.97,1006589
2017-08-28,79.21,79.71,79.2,79.44,1888471
2017-08-29,78.69,79.82,78.54,79.55,2737165
2017-08-30,82.13,83.89,81.24,83.72,6868364
2017-08-31,84.34,85.0,83.4,83.67,5136798
2017-09-01,83.97,85.18,83.6,84.38,2648027
2017-09-05,83.74,84.1,82.01,83.0,2890580
2017-09-06,83.21,83.56,82.22,82.51,3021651
2017-09-07,82.65,82.68,80.8,81.1,3993124
2017-09-08,81.21,81.59,80.1,80.44,2695414
2017-09-11,80.81,82.69,80.81,82.22,4104953
2017-09-12,82.63,82.8,81.49,82.15,2657200
2017-09-13,81.83,82.39,81.7,82.06,1964237
2017-09-14,81.75,83.14,81.71,82.34,2226102
2017-09-15,82.37,84.06,82.19,83.84,2923791
2017-09-18,85.0,85.54,84.07,85.17,3348469
2017-09-19,85.21,85.71,84.33,85.24,1790930
2017-09-20,85.21,85.29,82.91,83.69,2171787
2017-09-21,83.52,84.38,83.09,84.24,2885267
2017-09-22,83.81,85.24,83.75,84.92,2097691
2017-09-25,84.47,85.0,83.62,83.88,1923931
2017-09-26,84.58,84.66,83.6,83.91,1281367
2017-09-27,84.57,85.23,83.81,84.92,1467895
2017-09-28,84.59,85.78,84.45,85.64,1570130
2017-09-29,85.68,86.41,85.58,86.17,1712509
2017-10-02,86.59,86.77,85.68,85.82,1685888
