Date,Open,High,Low,Close,Volume
2016-12-28,122.4,122.77,121.97,122.08,867610
2016-12-29,122.07,122.6,121.91,122.29,767790
2016-12-30,122.79,122.84,122.05,122.42,1014278
2017-01-03,123.07,123.07,120.26,120.9,1955430
2017-01-04,120.87,121.74,120.22,120.25,1780156
2017-01-05,119.29,119.5,117.28,118.33,2696487
2017-01-06,117.83,118.71,117.62,118.27,1532295
2017-01-09,118.15,118.25,117.3,117.32,1526223
2017-01-10,116.69,117.72,116.45,117.18,1758807
2017-01-11,117.22,118.15,117.19,117.65,1433626
2017-01-12,117.25,117.27,115.88,116.75,1679167
2017-01-13,117.27,117.85,116.7,117.05,1543846
2017-01-17,117.01,118.16,116.62,117.46,1607915
2017-01-18,118.08,118.59,117.14,118.54,1486815
2017-01-19,118.91,118.95,117.42,117.99,994748
2017-01-20,118.57,118.89,117.63,118.02,1222280
2017-01-23,118.16,118.26,117.43,118.04,1593340
2017-01-24,118.55,119.15,116.16,116.84,3038258
2017-01-25,117.33,118.65,117.33,117.67,1536121
2017-01-26,117.65,118.43,117.65,118.13,1360824
2017-01-27,118.4,118.43,117.43,118.1,961452
2017-01-30,118.02,118.02,117.16,117.51,1200979
2017-01-31,117.54,117.81,117.01,117.78,1478048
2017-02-01,117.69,118.24,116.25,116.54,1402592
2017-02-02,116.55,117.81,116.55,117.63,1081967
2017-02-03,118.42,118.65,117.6,117.78,1355201
2017-02-06,116.46,117.94,116.46,117.67,987950
2017-02-07,118.1,118.22,117.4,117.76,1161710
2017-02-08,117.49,117.98,117.36,117.81,905125
2017-02-09,117.89,119.17,117.85,118.78,1099914
2017-02-10,119.0,120.21,118.99,119.73,1203168
2017-02-13,117.37,120.1,117.29,119.71,1519190
2017-02-14,119.71,120.32,119.49,120.24,1397061
2017-02-15,120.65,120.99,120.11,120.98,1416088
2017-02-16,121.05,121.79,120.73,121.79,1502915
2017-02-17,121.72,122.0,121.08,121.95,1334680
2017-02-21,121.81,122.45,121.06,121.55,1245572
2017-02-22,121.42,122.42,121.27,121.9,1184887
2017-02-23,122.41,123.08,121.71,122.36,1134121
2017-02-24,122.36,122.68,121.74,122.27,1698631
2017-02-27,121.86,122.76,121.61,122.04,914370
2017-02-28,122.05,122.96,121.79,122.24,1966038
2017-03-01,123.81,125.16,122.98,124.99,2619558
2017-03-02,125.49,125.49,124.47,124.52,1531378
2017-03-03,124.79,125.16,123.99,124.13,1519150
2017-03-06,124.03,124.28,122.29,122.32,2417939
2017-03-07,122.63,122.63,121.68,122.14,1773937
2017-03-08,122.35,122.76,121.05,121.24,2193455
2017-03-09,121.65,122.3,121.36,121.9,1707311
2017-03-10,122.32,122.86,121.75,122.83,1281900
2017-03-13,122.54,122.92,121.81,122.15,1069149
2017-03-14,121.77,122.85,121.75,122.62,903619
2017-03-15,123.0,123.15,122.31,122.99,1117836
2017-03-16,122.98,123.52,122.28,122.74,1166606
2017-03-17,122.95,123.17,122.17,123.14,3103637
2017-03-20,122.98,122.98,122.01,122.36,1485856
2017-03-21,122.79,122.85,121.4,121.69,1240214
2017-03-22,121.92,122.18,121.17,122.03,996369
2017-03-23,121.64,122.28,121.13,121.29,1054211
2017-03-24,121.38,121.41,120.24,120.77,1334242
2017-03-27,120.17,121.11,120.01,121.01,1087729
2017-03-28,120.76,121.89,120.44,121.8,1187291
2017-03-29,121.51,121.58,120.5,120.53,1133677
2017-03-30,120.36,121.26,120.36,121.03,1093148
2017-03-31,120.93,121.0,120.17,120.54,1114709
2017-04-03,120.57,120.8,119.8,120.38,1135511
2017-04-04,120.64,120.79,120.2,120.61,901835
2017-04-05,120.98,121.54,120.55,120.91,1284644
2017-04-06,121.0,121.07,120.19,120.54,1226491
2017-04-07,120.0,120.78,119.8,120.15,1063596
2017-04-10,120.03,121.42,120.01,121.11,997568
2017-04-11,120.67,121.37,120.38,121.19,1262552
2017-04-12,121.07,121.63,120.52,121.46,1352865
2017-04-13,121.15,121.44,120.36,120.53,1062320
2017-04-17,121.22,121.94,120.74,121.92,874413
2017-04-18,121.43,121.63,120.51,120.75,1086510
2017-04-19,121.26,121.41,119.95,120.4,1051487
2017-04-20,118.06,119.41,117.34,118.88,3559875
2017-04-21,119.55,119.55,118.52,119.1,2100677
2017-04-24,120.96,121.38,119.76,120.57,1957578
2017-04-25,121.13,121.7,120.92,121.32,1763313
2017-04-26,121.46,122.99,121.4,122.01,2433209
2017-04-27,122.11,122.44,121.62,122.16,1658222
2017-04-28,122.17,122.36,121.51,121.66,1290210
2017-05-01,121.79,121.79,121.15,121.18,1660802
2017-05-02,121.0,121.38,120.11,120.36,1162987
2017-05-03,120.1,121.11,120.1,120.81,841464
2017-05-04,121.42,121.65,120.27,120.81,1035978
2017-05-05,121.02,121.32,120.6,121.3,1286323
2017-05-08,121.3,121.55,120.77,121.01,1390461
2017-05-09,120.93,121.16,119.8,119.95,1467555
2017-05-10,119.63,120.98,119.63,120.69,1448825
2017-05-11,120.16,120.74,119.69,120.54,1370787
2017-05-12,120.15,120.98,120.02,120.59,1127477
2017-05-15,120.57,121.36,120.16,120.25,1174617
2017-05-16,120.27,120.67,119.76,119.93,1168694
2017-05-17,119.38,120.57,119.07,120.25,1399381
2017-05-18,120.13,121.87,119.75,120.88,2123477
2017-05-19,120.85,121.2,120.0,120.79,1573690
2017-05-22,120.83,122.13,120.68,121.65,1272565
2017-05-23,121.56,122.12,121.4,121.66,1128622
2017-05-24,121.77,122.17,121.57,122.05,1116659
2017-05-25,122.59,123.94,122.38,123.72,1849307
2017-05-26,123.59,123.92,123.34,123.66,925556
2017-05-30,123.36,124.23,123.16,123.73,1139156
2017-05-31,123.87,124.96,123.54,124.85,2124394
2017-06-01,124.97,125.45,124.45,125.4,1429154
2017-06-02,125.33,125.8,124.99,125.15,1210828
2017-06-05,125.0,125.74,124.92,125.38,1052393
2017-06-06,125.19,125.45,124.02,124.03,1277672
2017-06-07,123.87,124.11,123.24,123.5,1138891
2017-06-08,123.42,124.52,123.19,123.78,1826505
2017-06-09,123.86,125.25,123.78,125.23,1038530
2017-06-12,125.21,125.8,124.78,125.67,1534069
2017-06-13,125.57,126.1,125.32,126.1,1297601
2017-06-14,126.4,128.17,126.06,127.96,1573501
2017-06-15,127.94,129.28,127.83,129.02,1820623
2017-06-16,129.48,129.6,128.25,129.44,2471303
2017-06-19,129.4,129.49,128.02,128.27,1405926
2017-06-20,128.35,129.15,128.3,128.75,1163701
2017-06-21,128.75,129.1,128.39,128.58,1115255
2017-06-22,128.17,128.71,128.15,128.31,1117052
2017-06-23,128.0,128.64,127.17,127.66,1899307
2017-06-26,127.6,128.17,127.29,127.95,1004866
2017-06-27,128.38,128.38,127.33,127.38,1027598
2017-06-28,127.73,128.43,127.39,127.78,1324710
2017-06-29,128.22,128.23,125.96,126.39,1909062
2017-06-30,126.52,126.92,125.8,126.53,1186460
2017-07-03,126.98,128.24,126.69,127.34,932749
2017-07-05,127.47,127.47,126.13,126.37,1402623
2017-07-06,126.51,127.05,126.0,126.18,1014593
2017-07-07,126.79,127.28,126.01,127.17,987142
2017-07-10,126.57,126.98,125.77,125.77,1518082
2017-07-11,125.96,126.02,124.35,125.05,937740
2017-07-12,125.61,125.9,124.98,125.25,1034520
2017-07-13,125.25,125.68,124.76,125.43,886707
2017-07-14,125.25,125.97,124.62,125.72,1382377
2017-07-17,126.04,126.28,125.45,126.23,937396
2017-07-18,126.05,126.09,125.07,125.53,1407679
2017-07-19,125.97,126.58,124.59,126.46,1324127
2017-07-20,123.28,125.41,122.89,124.57,2219351
2017-07-21,124.38,125.2,123.53,125.15,1373057
2017-07-24,125.25,126.58,125.2,126.38,1392792
2017-07-25,127.79,128.21,127.19,127.46,1578172
2017-07-26,127.31,127.57,125.7,126.0,1288911
2017-07-27,125.31,126.24,124.86,125.88,1694031
2017-07-28,126.11,127.47,125.72,127.21,1277677
2017-07-31,,,,128.09,1077258
2017-08-01,128.5,129.25,128.14,129.21,1518986
2017-08-02,129.02,129.91,128.56,128.73,1402260
2017-08-03,128.79,129.85,128.51,129.56,1081181
2017-08-04,129.82,130.0,128.97,129.69,1952516
2017-08-07,129.27,129.86,128.62,128.8,1008321
2017-08-08,128.75,129.16,128.45,128.55,1041892
2017-08-09,128.87,130.18,128.34,130.15,1605075
2017-08-10,129.72,130.18,129.2,129.69,2422154
2017-08-11,129.94,130.36,128.04,128.18,1535138
2017-08-14,128.33,129.06,128.22,128.79,1092726
2017-08-15,129.0,129.42,128.66,129.05,1139473
2017-08-16,129.62,130.37,129.0,129.47,1424061
2017-08-17,129.64,129.64,128.05,128.19,1622095
2017-08-18,128.27,128.53,127.52,127.89,1246905
2017-08-21,128.07,128.07,126.92,127.45,1063816
2017-08-22,127.92,128.09,127.44,127.77,1113622
2017-08-23,127.75,128.22,126.99,127.16,946955
2017-08-24,127.33,127.37,125.51,125.57,1045112
2017-08-25,125.99,126.69,125.56,126.47,1332234
2017-08-28,124.92,125.51,122.42,123.23,2534881
2017-08-29,122.6,123.96,122.28,123.01,1476237
2017-08-30,123.21,123.53,121.62,121.81,1349165
2017-08-31,122.05,122.16,120.16,121.18,2156565
2017-09-01,121.74,121.75,119.67,119.9,1547044
2017-09-05,119.01,119.04,115.21,115.43,3655089
2017-09-06,116.0,118.4,115.45,117.73,3561916
2017-09-07,116.59,116.95,113.76,115.18,2715713
2017-09-08,114.71,120.83,114.48,119.76,4215429
2017-09-11,123.51,126.68,122.37,122.56,3440418
2017-09-12,122.55,123.19,121.32,122.48,1811467
2017-09-13,122.23,122.48,120.79,121.51,1561265
2017-09-14,121.47,121.47,118.75,119.96,1812922
2017-09-15,120.59,121.16,119.48,120.7,3062500
2017-09-18,120.72,121.08,120.13,120.72,1068628
2017-09-19,120.64,121.42,120.46,120.58,1248293
2017-09-20,121.07,121.98,119.9,121.91,1489348
2017-09-21,122.11,122.9,121.13,121.49,1209258
2017-09-22,121.49,122.17,121.05,122.04,1291782
2017-09-25,121.96,122.97,121.55,122.67,1136487
2017-09-26,122.67,123.49,122.24,122.57,1298467
2017-09-27,123.46,123.46,122.49,122.59,1091527
2017-09-28,122.41,123.26,122.25,122.8,1097060
2017-09-29,122.62,123.2,121.9,122.52,1285833
2017-10-02,122.87,123.47,121.72,123.32,1449177
