Date,Open,High,Low,Close,Volume
2017-03-03,59.26,59.27,58.39,58.74,2340408
2017-03-06,58.81,58.93,58.4,58.81,1721280
2017-03-07,58.7,59.36,58.57,58.75,1872119
2017-03-08,58.98,59.36,58.82,58.9,2187212
2017-03-09,58.9,59.08,58.54,58.9,1823572
2017-03-10,59.34,59.77,59.12,59.55,1873385
2017-03-13,59.7,60.03,59.34,59.99,1847065
2017-03-14,59.84,59.98,58.92,59.72,1367612
2017-03-15,59.91,60.36,59.77,60.32,1572932
2017-03-16,60.44,60.81,59.75,60.05,1775168
2017-03-17,60.55,60.55,59.83,60.08,3354222
2017-03-20,60.07,60.64,59.83,60.32,1671887
2017-03-21,60.56,60.67,58.81,58.89,2443975
2017-03-22,58.94,59.3,58.66,59.07,1364394
2017-03-23,58.92,59.24,58.56,58.84,2585880
2017-03-24,59.32,59.52,58.6,58.63,1389549
2017-03-27,58.19,58.41,57.79,58.2,1884577
2017-03-28,58.17,58.29,57.82,57.97,1908164
2017-03-29,57.96,58.24,57.81,58.02,2130874
2017-03-30,57.85,58.22,57.81,57.88,1648575
2017-03-31,57.8,57.97,57.2,57.89,6222766
2017-04-03,57.93,58.26,56.79,57.18,2510480
2017-04-04,56.97,57.33,56.94,57.13,2424095
2017-04-05,57.23,57.48,56.57,56.65,2373670
2017-04-06,56.64,56.64,56.13,56.34,3203754
2017-04-07,56.45,57.12,56.31,56.48,2726174
2017-04-10,56.59,56.59,55.86,55.99,2363156
2017-04-11,55.85,55.96,55.16,55.96,2372404
2017-04-12,55.67,56.17,54.99,55.1,2984775
2017-04-13,55.42,56.37,55.05,55.68,3739794
2017-04-17,55.87,56.07,55.48,55.91,1709095
2017-04-18,55.62,56.59,55.59,56.49,2670237
2017-04-19,56.92,57.55,56.66,56.73,3522253
2017-04-20,57.12,57.82,56.95,57.71,4330523
2017-04-21,57.44,57.91,56.69,57.69,2219010
2017-04-24,59.37,60.71,59.24,60.65,7583484
2017-04-25,60.8,60.8,60.16,60.69,5359076
2017-04-26,60.68,61.16,59.84,59.99,4480369
2017-04-27,63.21,64.9,62.16,64.4,7975094
2017-04-28,63.97,64.24,62.85,63.11,4066270
2017-05-01,63.29,63.8,62.91,63.36,2996325
2017-05-02,63.15,63.27,62.45,62.69,2450785
2017-05-03,62.65,62.86,62.13,62.61,2870702
2017-05-04,62.71,63.03,62.41,62.94,2317514
2017-05-05,63.0,63.5,62.5,63.39,1638515
2017-05-08,63.59,64.98,63.49,64.57,4535149
2017-05-09,64.61,65.2,64.15,64.69,3068819
2017-05-10,64.77,65.05,64.23,64.62,2471036
2017-05-11,64.16,64.68,63.65,64.58,2336300
2017-05-12,64.33,64.55,64.04,64.3,2357206
2017-05-15,64.41,64.92,64.26,64.79,2089876
2017-05-16,65.01,65.5,64.55,65.46,2611445
2017-05-17,65.05,65.44,64.36,64.76,3495994
2017-05-18,64.55,66.12,64.29,65.61,4789795
2017-05-19,66.05,67.09,65.69,66.67,4422476
2017-05-22,66.83,67.75,66.81,67.52,5452365
2017-05-23,64.31,64.45,62.92,63.97,9291221
2017-05-24,64.38,64.83,63.93,64.44,2979308
2017-05-25,64.72,65.99,64.58,65.43,3522670
2017-05-26,65.51,65.88,64.99,65.85,2864475
2017-05-30,65.75,66.02,65.21,65.72,3219206
2017-05-31,66.43,66.72,65.89,66.71,5424801
2017-06-01,66.41,67.0,66.04,66.65,5655805
2017-06-02,67.06,67.09,66.33,66.88,3298230
2017-06-05,66.8,67.5,66.67,67.15,3343197
2017-06-06,67.23,67.72,66.9,67.61,3701900
2017-06-07,67.61,67.94,67.42,67.87,2803786
2017-06-08,68.0,68.1,67.45,68.07,2694819
2017-06-09,68.35,68.55,64.62,65.4,5294346
2017-06-12,64.82,65.11,63.21,64.23,5548666
2017-06-13,64.75,65.11,64.01,64.78,2202801
2017-06-14,65.17,65.39,64.41,64.88,2761419
2017-06-15,63.99,64.98,63.9,64.86,2043816
2017-06-16,64.8,64.95,64.12,64.74,3585974
2017-06-19,65.2,65.98,65.07,65.9,2155659
2017-06-20,65.87,66.15,65.05,65.26,2595270
2017-06-21,66.08,66.37,65.39,66.12,2981879
2017-06-22,66.31,66.79,65.85,66.58,2067193
2017-06-23,66.56,67.6,66.5,67.53,5260489
2017-06-26,67.6,67.99,67.01,67.36,2226753
2017-06-27,67.05,67.26,65.08,65.1,3139613
2017-06-28,65.49,66.09,64.74,66.01,2220220
2017-06-29,65.45,65.57,63.58,64.18,2100706
2017-06-30,64.61,64.76,63.98,64.32,3165534
2017-07-03,64.86,64.9,63.24,63.26,1270110
2017-07-05,63.63,64.87,63.33,64.71,2128239
2017-07-06,63.95,64.82,63.67,64.43,1966147
2017-07-07,64.59,65.59,64.57,65.35,1335720
2017-07-10,67.02,67.24,66.13,67.18,2828717
2017-07-11,67.14,67.75,66.93,67.55,2556506
2017-07-12,68.0,68.68,67.8,68.28,1627197
2017-07-13,68.04,68.58,67.74,67.85,1654490
2017-07-14,68.0,68.1,65.7,66.25,5311188
2017-07-17,66.24,66.55,65.78,65.86,2223757
2017-07-18,65.9,65.97,65.26,65.63,2346194
2017-07-19,65.92,65.92,64.43,65.59,5182540
2017-07-20,65.71,66.19,64.78,65.81,2974163
2017-07-21,65.49,65.74,64.51,64.88,3190302
2017-07-24,64.9,64.96,64.16,64.26,2133367
2017-07-25,64.32,64.89,64.01,64.46,1688940
2017-07-26,64.57,65.37,64.26,65.32,3114873
2017-07-27,66.6,68.19,63.42,63.84,6581546
2017-07-28,63.38,63.81,63.07,63.67,2166300
2017-07-31,63.7,63.8,62.96,63.26,1954380
2017-08-01,63.3,63.79,62.99,63.56,1684733
2017-08-02,63.66,63.69,62.12,62.25,2673865
2017-08-03,62.22,62.94,61.85,62.9,2469662
2017-08-04,63.24,63.62,62.91,63.28,1495948
2017-08-07,63.12,64.03,63.1,63.83,2250357
2017-08-08,63.45,64.1,63.1,63.16,1512402
2017-08-09,62.87,63.1,62.46,62.74,1243741
2017-08-10,62.35,62.55,61.66,61.77,1536855
2017-08-11,61.83,62.8,61.78,62.42,2039090
2017-08-14,63.05,63.5,62.95,63.17,2176170
2017-08-15,63.19,63.19,62.27,62.64,2021754
2017-08-16,63.0,63.02,62.5,62.71,1622208
2017-08-17,62.4,62.63,61.25,61.32,2343359
2017-08-18,61.29,61.63,61.0,61.02,1686112
2017-08-21,61.0,61.21,60.12,61.13,2131375
2017-08-22,61.25,61.82,61.22,61.34,1587875
2017-08-23,60.97,64.11,60.74,64.01,6880093
2017-08-24,64.0,64.45,63.52,64.23,2896638
2017-08-25,64.52,64.96,63.83,64.75,3122660
2017-08-28,64.75,65.41,64.5,65.18,2068585
2017-08-29,64.68,66.03,64.53,65.76,2034049
2017-08-30,65.95,66.31,65.72,66.09,1691581
2017-08-31,66.48,66.48,65.59,66.06,1543126
2017-09-01,66.12,66.3,65.61,65.99,1334515
2017-09-05,65.79,65.92,64.15,64.51,2096557
2017-09-06,64.64,64.9,63.5,64.11,1785532
2017-09-07,64.21,64.57,63.7,64.32,2078501
2017-09-08,64.36,64.46,63.38,63.67,2129733
2017-09-11,64.04,65.1,63.86,64.72,2405336
2017-09-12,64.65,65.33,64.46,65.0,2526672
2017-09-13,64.85,67.22,64.69,66.97,2976402
2017-09-14,66.77,68.3,66.66,67.84,3480069
2017-09-15,68.29,68.75,67.72,68.33,3320569
2017-09-18,68.69,69.99,68.5,69.7,2971775
2017-09-19,69.54,70.33,69.28,69.82,2385536
2017-09-20,69.73,69.99,68.59,69.49,2492828
2017-09-21,69.4,69.74,68.5,68.91,2375677
2017-09-22,68.68,69.42,68.63,69.33,1540271
2017-09-25,69.25,69.64,68.55,69.45,1990785
2017-09-26,69.8,70.31,69.3,69.52,2568010
2017-09-27,70.16,70.86,69.76,70.43,2669197
2017-09-28,70.33,70.78,70.02,70.19,1677692
2017-09-29,70.39,70.93,69.55,70.83,2186284
2017-10-02,71.03,71.76,70.24,70.47,2796735
