Date,Open,High,Low,Close,Volume
2017-02-02,145.06,145.49,144.24,145.05,520807
2017-02-03,145.98,146.74,144.97,146.34,551630
2017-02-06,146.32,146.32,144.66,145.87,367375
2017-02-07,146.31,147.94,146.31,147.31,548113
2017-02-08,146.94,147.7,145.94,147.58,381736
2017-02-09,147.58,148.96,147.2,148.67,334622
2017-02-10,148.7,149.81,148.14,149.2,374537
2017-02-13,149.33,150.98,148.75,149.73,524564
2017-02-14,149.06,150.65,148.72,150.47,390907
2017-02-15,149.85,153.9,149.22,153.41,882829
2017-02-16,153.36,153.36,151.64,153.0,485215
2017-02-17,152.7,154.41,152.65,154.33,398823
2017-02-21,154.3,155.29,153.42,154.6,393354
2017-02-22,153.79,155.27,153.45,154.68,430370
2017-02-23,154.79,155.01,153.36,154.89,577623
2017-02-24,154.75,156.43,153.59,156.4,421782
2017-02-27,156.75,157.32,155.82,156.53,526057
2017-02-28,156.6,157.72,154.71,154.99,616463
2017-03-01,156.12,157.91,155.4,155.83,743010
2017-03-02,155.73,155.89,153.75,154.19,598121
2017-03-03,154.0,154.99,153.2,154.9,603261
2017-03-06,154.29,154.85,152.05,153.42,642623
2017-03-07,152.89,153.93,152.39,153.36,296756
2017-03-08,153.34,153.97,152.48,153.05,445805
2017-03-09,153.12,155.93,152.36,154.61,520089
2017-03-10,155.56,157.44,154.96,156.94,754343
2017-03-13,156.4,157.35,155.67,157.16,322834
2017-03-14,157.02,157.37,155.75,156.4,260967
2017-03-15,157.0,158.81,156.45,158.31,395358
2017-03-16,156.5,156.93,154.2,156.45,700203
2017-03-17,156.78,157.53,155.64,156.59,605064
2017-03-20,156.5,157.05,155.84,155.86,238513
2017-03-21,156.66,157.3,154.12,155.49,327576
2017-03-22,156.12,156.36,154.66,155.92,413114
2017-03-23,155.79,156.59,155.09,155.63,264078
2017-03-24,155.66,156.68,154.29,154.76,409330
2017-03-27,154.0,156.45,153.04,155.91,373483
2017-03-28,155.44,156.75,154.75,155.52,253219
2017-03-29,155.44,155.99,154.3,155.61,169453
2017-03-30,155.36,156.63,153.92,156.28,236052
2017-03-31,155.96,157.0,154.94,156.31,248704
2017-04-03,156.39,157.62,155.95,156.7,567706
2017-04-04,156.68,157.06,154.15,154.83,439330
2017-04-05,155.14,157.47,154.68,155.37,684659
2017-04-06,155.37,156.41,154.59,155.94,251079
2017-04-07,155.69,157.36,155.24,156.81,396598
2017-04-10,156.42,157.61,156.19,156.39,304037
2017-04-11,156.16,156.41,154.38,155.88,267861
2017-04-12,156.28,156.54,154.86,155.11,370188
2017-04-13,154.36,156.36,154.36,155.69,317567
2017-04-17,156.25,158.11,155.38,157.34,411768
2017-04-18,156.66,157.73,155.16,157.26,372823
2017-04-19,158.16,161.98,157.06,159.21,721315
2017-04-20,159.1,159.83,157.83,158.99,615788
2017-04-21,159.0,159.66,157.84,158.52,289499
2017-04-24,160.27,160.83,159.6,160.27,835734
2017-04-25,167.0,172.35,160.52,171.46,1428132
2017-04-26,172.0,174.68,170.72,170.94,1021211
2017-04-27,171.43,172.27,170.4,170.73,529842
2017-04-28,170.96,170.96,169.23,169.89,705825
2017-05-01,171.48,173.28,170.51,173.05,733061
2017-05-02,173.82,174.79,172.99,173.75,553337
2017-05-03,172.86,174.19,172.11,172.48,487523
2017-05-04,172.93,173.99,172.8,173.7,362689
2017-05-05,173.94,174.17,172.73,174.0,387904
2017-05-08,174.03,174.03,172.71,173.07,346538
2017-05-09,173.56,174.78,173.0,174.5,300610
2017-05-10,174.01,174.83,172.92,174.11,656515
2017-05-11,173.26,173.26,169.34,172.22,1004243
2017-05-12,172.25,173.02,172.0,172.41,282566
2017-05-15,172.68,174.95,172.03,174.71,581501
2017-05-16,174.93,175.26,173.98,174.91,294768
2017-05-17,173.27,176.05,172.98,174.39,619288
2017-05-18,174.02,176.98,173.96,176.33,660894
2017-05-19,176.68,176.78,175.04,175.5,426597
2017-05-22,175.22,175.72,173.89,175.55,490792
2017-05-23,176.5,178.45,175.64,176.1,324695
2017-05-24,176.12,177.71,175.21,177.54,384103
2017-05-25,178.25,179.07,177.0,178.6,234224
2017-05-26,178.06,178.81,177.72,178.07,274471
2017-05-30,177.81,178.95,177.63,178.56,418908
2017-05-31,179.36,181.03,178.89,179.62,909445
2017-06-01,180.55,181.21,179.3,181.01,506571
2017-06-02,181.5,184.57,181.1,183.96,524514
2017-06-05,184.46,184.83,183.65,183.79,442951
2017-06-06,183.23,184.91,182.68,183.59,244355
2017-06-07,184.32,186.1,184.0,185.81,382439
2017-06-08,186.26,187.0,185.81,186.33,658524
2017-06-09,186.11,187.65,184.04,184.99,537376
2017-06-12,184.55,184.79,179.18,183.35,536473
2017-06-13,183.34,186.23,183.34,184.97,387240
2017-06-14,185.08,185.94,184.07,184.97,317517
2017-06-15,184.34,185.0,183.05,184.95,410239
2017-06-16,184.98,185.54,183.89,184.16,611110
2017-06-19,184.86,185.7,184.32,185.58,496912
2017-06-20,185.65,185.75,183.2,184.28,747132
2017-06-21,184.3,185.65,184.27,185.43,487089
2017-06-22,185.56,186.04,183.9,184.89,321427
2017-06-23,185.0,185.84,184.42,185.47,339909
2017-06-26,185.68,186.16,184.69,184.92,327562
2017-06-27,184.58,184.98,183.11,183.21,299915
2017-06-28,184.35,185.28,183.68,184.21,453070
2017-06-29,184.3,184.6,182.0,182.84,487670
2017-06-30,183.0,184.48,183.0,183.84,342124
2017-07-03,184.98,185.88,182.49,182.52,268613
2017-07-05,183.09,184.59,183.09,183.78,363232
2017-07-06,182.93,184.04,181.88,182.24,587864
2017-07-07,183.28,184.85,182.9,184.08,303426
2017-07-10,181.9,181.98,177.71,180.39,660388
2017-07-11,180.63,181.97,180.16,180.84,341655
2017-07-12,182.0,183.58,181.65,182.91,316489
2017-07-13,183.15,183.87,181.04,182.74,382867
2017-07-14,183.1,183.95,182.72,183.39,265727
2017-07-17,183.65,185.61,183.65,185.22,494082
2017-07-18,185.22,185.41,182.95,183.5,399373
2017-07-19,183.83,183.98,182.25,182.91,450888
2017-07-20,183.83,184.88,182.28,184.11,625590
2017-07-21,183.79,185.89,181.96,185.24,434500
2017-07-24,184.93,185.98,184.47,185.01,734048
2017-07-25,176.89,178.4,171.32,175.11,1756530
2017-07-26,174.0,175.59,171.56,172.58,1007787
2017-07-27,173.15,173.81,171.58,173.23,678835
2017-07-28,173.17,174.69,172.11,174.11,537981
2017-07-31,,,172.7,173.44,486618
2017-08-01,173.9,176.2,173.9,175.74,674872
2017-08-02,175.72,176.76,175.26,176.69,430143
2017-08-03,176.79,178.45,175.88,178.16,372553
2017-08-04,178.45,178.72,176.88,177.85,367611
2017-08-07,177.88,178.42,176.72,177.95,405172
2017-08-08,177.38,179.74,176.49,176.64,376732
2017-08-09,176.58,176.91,175.3,176.7,500776
2017-08-10,176.1,177.85,175.17,175.66,662533
2017-08-11,176.33,178.02,175.07,177.03,414729
2017-08-14,178.32,180.41,178.32,179.76,437697
2017-08-15,179.43,181.21,179.23,179.52,381785
2017-08-16,180.31,182.9,179.74,182.4,365071
2017-08-17,181.99,182.95,179.67,180.22,501778
2017-08-18,179.98,181.28,178.85,179.7,333163
2017-08-21,179.71,180.55,178.9,180.18,337110
2017-08-22,180.51,183.12,179.86,182.84,219760
2017-08-23,181.67,182.47,179.85,179.94,382771
2017-08-24,180.02,181.29,179.75,180.96,216120
2017-08-25,181.32,182.16,179.33,179.42,327661
2017-08-28,180.0,180.3,178.89,179.94,491782
2017-08-29,179.21,180.92,178.2,180.33,366962
2017-08-30,180.12,181.42,179.55,181.06,398234
2017-08-31,182.02,183.9,180.91,183.48,555987
2017-09-01,183.66,183.9,181.2,183.03,476779
2017-09-05,182.13,183.23,180.35,182.9,630838
2017-09-06,183.37,184.24,181.16,183.91,487276
2017-09-07,184.16,185.1,182.2,184.88,642262
2017-09-08,184.79,186.9,184.74,186.56,505369
2017-09-11,187.29,189.14,186.8,189.11,492350
2017-09-12,188.9,190.39,188.65,190.0,321026
2017-09-13,189.4,189.72,188.71,189.65,400681
2017-09-14,189.25,190.2,188.02,189.32,421130
2017-09-15,189.35,189.35,187.26,187.73,527206
2017-09-18,188.09,189.19,186.76,188.95,420777
2017-09-19,189.15,189.96,184.34,184.75,414812
2017-09-20,184.64,185.37,181.28,183.86,586595
2017-09-21,183.89,183.89,181.31,181.79,347133
2017-09-22,181.82,182.07,179.56,181.16,395723
2017-09-25,181.26,181.26,179.02,180.32,392465
2017-09-26,179.59,180.24,178.03,178.98,627737
2017-09-27,179.11,179.96,177.97,178.74,419948
2017-09-28,178.22,178.9,177.58,178.78,410556
2017-09-29,178.47,179.98,178.21,179.52,334977
2017-10-02,179.71,182.98,179.27,182.04,461161
