Date,Open,High,Low,Close,Volume
2017-02-06,137.43,137.9,136.45,136.49,3864067
2017-02-07,137.16,137.7,136.33,136.65,3242017
2017-02-08,136.89,137.91,136.82,137.88,2882742
2017-02-09,137.78,139.15,137.41,138.71,2931873
2017-02-10,138.6,140.57,138.24,139.85,3296963
2017-02-13,140.48,140.65,139.05,139.87,2753068
2017-02-14,139.95,141.36,139.34,141.36,4775802
2017-02-15,141.27,142.66,140.95,142.19,4343541
2017-02-16,142.39,142.98,140.9,141.54,4295811
2017-02-17,141.36,143.12,141.0,143.0,5108352
2017-02-21,145.6,145.65,143.25,145.02,9275897
2017-02-22,145.05,145.47,143.97,145.25,5037762
2017-02-23,146.11,146.33,144.51,144.71,4184046
2017-02-24,144.65,146.08,144.65,145.95,3516923
2017-02-27,145.87,146.01,144.8,145.3,4388414
2017-02-28,144.98,145.63,144.46,144.91,4211949
2017-03-01,146.72,147.7,145.89,146.68,6213540
2017-03-02,147.08,148.23,146.39,147.95,4053412
2017-03-03,148.12,148.26,146.82,147.81,3413398
2017-03-06,147.13,147.51,146.58,147.13,3998026
2017-03-07,146.33,146.95,145.83,146.02,3996289
2017-03-08,146.22,147.12,145.92,146.92,3614479
2017-03-09,147.08,147.16,146.53,146.62,3594694
2017-03-10,147.24,147.46,146.45,146.85,3123243
2017-03-13,147.33,147.67,146.5,147.43,2933276
2017-03-14,147.27,147.59,146.46,147.16,3272706
2017-03-15,147.35,148.38,146.76,147.95,3670513
2017-03-16,148.4,149.19,148.01,148.73,3544464
2017-03-17,149.4,149.99,148.13,149.6,9001961
2017-03-20,149.38,149.59,147.7,147.8,5906058
2017-03-21,148.33,148.7,146.26,146.61,4530019
2017-03-22,146.73,147.93,146.06,147.36,3169038
2017-03-23,147.28,148.41,147.03,147.99,3219352
2017-03-24,147.85,150.15,147.01,147.71,4735361
2017-03-27,147.07,147.68,146.26,146.87,2943006
2017-03-28,147.29,147.35,145.94,147.2,4635629
2017-03-29,146.37,147.42,145.96,147.04,3729973
2017-03-30,146.72,147.38,146.43,146.95,2450781
2017-03-31,146.87,147.18,146.65,146.83,3248666
2017-04-03,146.94,147.2,146.09,146.62,3775283
2017-04-04,146.5,146.9,146.05,146.34,3124200
2017-04-05,146.63,148.44,146.58,146.64,3390363
2017-04-06,147.04,147.96,147.0,147.24,2699679
2017-04-07,147.1,147.8,146.9,147.13,2869120
2017-04-10,146.96,149.0,146.75,148.21,5044458
2017-04-11,147.91,148.65,147.1,148.2,2844794
2017-04-12,147.42,147.57,146.37,146.54,4445599
2017-04-13,146.42,147.01,145.87,145.91,2346886
2017-04-17,145.9,147.31,145.76,147.31,3467650
2017-04-18,147.06,148.18,146.77,147.76,2969413
2017-04-19,147.93,148.4,147.02,147.22,3460975
2017-04-20,147.66,149.05,147.44,148.72,3700495
2017-04-21,148.49,150.15,148.4,150.0,5019927
2017-04-24,151.08,152.06,150.85,151.89,5077174
2017-04-25,152.79,154.65,152.79,153.03,5496453
2017-04-26,153.11,154.81,152.4,154.22,5120177
2017-04-27,154.69,156.27,153.89,156.12,5881432
2017-04-28,156.01,156.25,154.1,156.1,4983041
2017-05-01,156.22,156.27,154.21,154.21,3152949
2017-05-02,154.49,155.16,153.76,154.95,3295105
2017-05-03,155.16,155.39,154.59,155.0,2445489
2017-05-04,155.46,155.64,154.26,154.86,3793067
2017-05-05,155.34,155.75,154.09,155.73,2500636
2017-05-08,155.85,157.16,155.49,156.89,3184576
2017-05-09,157.04,157.74,156.29,157.68,3004377
2017-05-10,157.52,158.15,157.3,158.13,2617601
2017-05-11,157.35,157.7,155.33,156.2,3929068
2017-05-12,156.39,157.2,155.75,156.92,2926365
2017-05-15,157.28,157.84,156.66,157.33,6068872
2017-05-16,160.11,160.86,158.05,158.26,10120878
2017-05-17,157.08,157.3,155.89,156.09,5936974
2017-05-18,155.48,156.66,155.24,155.7,4858557
2017-05-19,156.04,156.74,155.32,156.3,4781806
2017-05-22,156.49,157.0,155.8,155.96,3802060
2017-05-23,155.91,156.43,154.68,154.83,4640854
2017-05-24,154.7,155.43,153.29,155.0,4593198
2017-05-25,156.2,156.69,155.35,156.46,3110806
2017-05-26,156.1,156.42,154.64,154.9,4284660
2017-05-30,154.0,154.56,153.52,153.88,3504291
2017-05-31,154.36,154.38,153.28,153.51,7158383
2017-06-01,153.52,155.16,152.74,155.15,3385133
2017-06-02,154.79,155.86,154.42,155.35,3485582
2017-06-05,155.53,155.62,154.23,154.79,2651789
2017-06-06,154.44,154.66,153.65,154.2,3260265
2017-06-07,154.69,155.3,154.35,154.96,3158964
2017-06-08,155.16,155.23,153.38,153.5,4041556
2017-06-09,154.0,154.0,152.78,152.96,4705349
2017-06-12,152.8,153.3,151.73,152.18,4473919
2017-06-13,152.31,154.04,152.06,153.99,3753767
2017-06-14,154.5,157.28,153.96,156.76,5999411
2017-06-15,156.13,157.27,154.92,156.77,3972260
2017-06-16,156.25,156.69,155.41,156.64,9105408
2017-06-19,156.91,159.03,156.39,158.81,5196140
2017-06-20,158.73,159.22,157.6,157.67,4201226
2017-06-21,157.91,158.53,156.43,156.59,4071298
2017-06-22,156.44,157.07,155.47,155.48,3347363
2017-06-23,155.16,155.23,150.91,151.31,11422231
2017-06-26,151.67,151.97,151.13,151.42,4128535
2017-06-27,151.06,153.25,150.75,152.24,4567125
2017-06-28,152.75,153.45,152.36,153.23,5087003
2017-06-29,152.77,153.0,151.52,152.16,2855395
2017-06-30,152.51,154.0,152.27,153.4,3640851
2017-07-03,154.39,154.79,153.71,154.01,1658535
2017-07-05,154.01,154.3,151.46,152.69,4432537
2017-07-06,151.77,152.48,151.22,152.05,3408538
2017-07-07,152.04,152.87,151.9,152.23,3775383
2017-07-10,152.22,152.26,151.0,151.18,5081101
2017-07-11,151.45,151.81,150.5,150.6,5642013
2017-07-12,151.46,153.14,151.09,152.59,4275878
2017-07-13,152.82,154.13,152.6,153.29,3287961
2017-07-14,153.22,153.67,151.82,152.88,3588437
2017-07-17,152.9,154.5,152.72,153.89,4166618
2017-07-18,153.75,153.86,151.98,152.17,3783567
2017-07-19,152.55,154.0,152.55,153.3,2808385
2017-07-20,152.56,152.57,145.61,147.03,18264081
2017-07-21,147.03,147.46,146.13,146.65,9120167
2017-07-24,146.61,146.69,144.25,144.58,7295913
2017-07-25,145.74,147.4,145.28,146.97,5002381
2017-07-26,146.86,147.24,145.96,146.69,2835975
2017-07-27,146.18,147.86,145.89,147.73,5399029
2017-07-28,147.9,148.27,147.32,148.08,3421081
2017-07-31,,149.98,,149.6,5253318
2017-08-01,150.24,150.39,148.95,149.85,4110605
2017-08-02,149.94,150.86,149.92,150.5,3754192
2017-08-03,150.7,152.03,150.5,150.79,5146565
2017-08-04,151.01,152.75,150.8,152.75,3258581
2017-08-07,152.83,154.47,152.47,153.35,3833620
2017-08-08,153.32,154.2,153.08,153.35,3218945
2017-08-09,153.35,155.57,153.32,155.26,3844857
2017-08-10,155.19,155.98,153.88,153.88,4433653
2017-08-11,154.11,155.72,153.98,154.88,3650541
2017-08-14,156.04,156.05,153.56,154.26,6662484
2017-08-15,154.28,154.8,148.26,150.17,13528650
2017-08-16,151.45,152.95,151.16,152.25,6043875
2017-08-17,151.81,152.15,149.61,149.67,4460870
2017-08-18,149.61,149.61,146.96,147.49,6989147
2017-08-21,147.1,149.88,146.89,149.2,4222473
2017-08-22,149.29,150.58,149.29,149.91,3268114
2017-08-23,148.58,149.48,147.43,149.1,5235444
2017-08-24,149.73,150.6,147.98,148.25,3736039
2017-08-25,148.51,150.53,148.4,149.65,3047971
2017-08-28,151.94,152.39,150.43,151.39,6845407
2017-08-29,150.07,150.9,149.03,149.84,5368723
2017-08-30,150.0,150.25,149.28,150.0,3640966
2017-08-31,150.61,150.92,149.85,149.87,6083340
2017-09-01,150.26,150.94,149.76,150.78,3383036
2017-09-05,151.71,153.92,151.7,152.93,7512387
2017-09-06,154.86,157.03,154.14,156.56,8126012
2017-09-07,158.17,159.28,156.79,157.93,8273080
2017-09-08,159.09,160.69,157.52,159.66,10088630
2017-09-11,158.42,158.74,156.22,158.37,8847928
2017-09-12,159.06,160.93,158.71,159.91,5794570
2017-09-13,160.39,161.38,159.55,160.02,4713676
2017-09-14,160.35,160.85,159.33,159.38,5290796
2017-09-15,159.98,159.99,158.29,158.4,9124244
2017-09-18,159.0,159.0,157.69,157.81,4010587
2017-09-19,157.8,158.32,157.16,157.66,3713412
2017-09-20,157.57,159.39,157.36,158.68,4599197
2017-09-21,158.87,159.56,158.72,159.19,3082093
2017-09-22,159.14,160.09,159.01,159.97,3576479
2017-09-25,160.05,161.43,159.75,161.1,4897741
2017-09-26,161.55,162.0,160.79,161.26,3222646
2017-09-27,161.38,161.69,160.14,160.92,3896420
2017-09-28,160.72,162.45,160.66,162.36,4614080
2017-09-29,162.5,163.61,162.15,163.56,3467426
2017-10-02,164.2,164.25,163.22,164.02,2616644
